,所在地址,小区名称,总价格,单价,房屋基本信息,房屋交易属性信息,房屋特色
458,"['汉南', '汉南其它']",['绿地城协子河畔B'],['88'],['5638'],"{'房屋户型': '4室1厅1厨2卫', '所在楼层': '中楼层 (共6层)', '建筑面积': '156.11㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '暂无数据', '房屋朝向': '东南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '暂无数据', '配备电梯': '暂无数据', '楼层高度': '暂无数据'}","{'房屋户型': '4室1厅1厨2卫', '所在楼层': '中楼层 (共6层)', '建筑面积': '156.11㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '暂无数据', '房屋朝向': '东南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '暂无数据', '配备电梯': '暂无数据', '楼层高度': '暂无数据'}","{'核心卖点': '小区环境优美，旁边就是地铁口，楼间距宽，全天有阳光，', '售房详情': '房东当初准备自主使用，现因工作变动，无暇看管，故诚意出售此房置换房产，诚心出售，产权清晰无纠纷，手续齐全，价格公道，好房不等人', '周边配套': '公园：朱家山公园、江滩公园、绿化广场、马影河滩公园 医院：汉南区人民医院、安康医院、协和医院西区、亚心医院 商场：武商量贩、中百仓储、世纪华联、永旺梦乐城、经开万达', '交通出行': '步行即可到达协子河地铁站，一公里即可上高速，高速汉南至沌口路这一段是免费的，很是方便'}"
459,"['黄陂', '盘龙城']",['天汇龙城龙湖苑'],['78'],['6757'],"{'房屋户型': '3室2厅1厨2卫', '所在楼层': '低楼层 (共34层)', '建筑面积': '115.45㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '其他', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '3室2厅1厨2卫', '所在楼层': '低楼层 (共34层)', '建筑面积': '115.45㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '其他', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '产权清晰南北通  边户大3房,无遮挡 ,毛坯房，视野采光好', '小区介绍': '国企开发,次新小区，人车分流，绿化高环境好，小区100米在建500万方活动，300米处幼儿园，中百仓储500米', '户型介绍': '该房屋户型方正，无浪费面积，客餐厅一线，主卧客厅朝南，南北双阳台', '售房详情': '业主刚需买的首套房子现因工作调动置换其他地方该房子随时可看房'}"
460,"['洪山', '虎泉杨家湾']",['保利华都'],['250'],['24467'],"{'房屋户型': '3室2厅1厨2卫', '所在楼层': '低楼层 (共18层)', '建筑面积': '102.18㎡', '户型结构': '平层', '套内面积': '81.21㎡', '建筑类型': '塔楼', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '3室2厅1厨2卫', '所在楼层': '低楼层 (共18层)', '建筑面积': '102.18㎡', '户型结构': '平层', '套内面积': '81.21㎡', '建筑类型': '塔楼', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '此房产证满5年，业主自住装修标准，户型南北通透双阳.', '适宜人群': '这套房子是业主自住装修，三房两卫户型适合一家四口居住，户型属于南北通透，主卧带洗手间，公用洗手间在客厅位置使用时也互不影响，对于考虑小孩上学置换的 小区门口就是地铁2号线杨家湾站，对于有交通出行有要求的都是一步到位', '户型介绍': '户型方正，南北通透，进大门有大概5个平左右入户花园，可以做衣帽柜，总层高18层，公摊也比较少，进门的客卧和主卧中间相隔着客厅，这样休息不影响，南北两个阳台，北向阳台可以拓展出去，主卧带洗手间，每个房间的窗户都属于飘窗设计，可以拓展出来使用', '交通出行': '小区门口就是地铁2号线杨家湾站，2号线跨度最长 转接站也是最长的，中转武汉三镇，楼栋位于小区一期，地势也比较高，离地铁站也近，门口还有短途距离的公交车'}"
461,"['青山', '青山']",['绿地香树花城'],['132'],['9993'],"{'房屋户型': '3室1厅1厨2卫', '所在楼层': '中楼层 (共45层)', '建筑面积': '132.1㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板塔结合', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '毛坯', '梯户比例': '三梯五户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '3室1厅1厨2卫', '所在楼层': '中楼层 (共45层)', '建筑面积': '132.1㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板塔结合', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '毛坯', '梯户比例': '三梯五户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '客厅带阳台 ，采光好，楼层好 总价低交通便利', '小区介绍': '小区是中高档小区，高素质居住人群，30%以上的绿化，更有利于人的身体健康', '周边配套': '小区步行500米有戴家湖公园，自带大型商场，幼儿园也比较近，建行、工行、农行也有的', '交通出行': '小区位于三环边，500米上三环，往武汉站3.5公里能抵达，小区楼下公交车站，215.231.23.40.514.53路等，地铁5号线也在小区楼下'}"
462,"['硚口', '宗关']",['保利香槟国际'],['26'],['6623'],"{'房屋户型': '1室0厅1厨1卫', '所在楼层': '中楼层 (共29层)', '建筑面积': '39.26㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '塔楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯十四户', '配备电梯': '有', '楼层高度': '暂无数据', '用水类型': '商水', '用电类型': '商电', '燃气价格': '2.53元/m3'}","{'房屋户型': '1室0厅1厨1卫', '所在楼层': '中楼层 (共29层)', '建筑面积': '39.26㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '塔楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯十四户', '配备电梯': '有', '楼层高度': '暂无数据', '用水类型': '商水', '用电类型': '商电', '燃气价格': '2.53元/m3'}","{'核心卖点': '老证税少，保守税费3万包过户，老证税少，保守税费3万包过户。', '适宜人群': '小户型商可办居，可办营业执照做生意陪读方便随时联系，上班近，人口多单身少年多年轻貌美，网红多', '户型介绍': '房龄年轻，2024年了8年房龄户型小区典型的户型反正一居室有天然气', '装修描述': '九栋单独一栋酒店装修户型方正拎包随时联系无所畏惧采光好的很。'}"
463,"['黄陂', '盘龙城']",['龙城汇萃园'],['65'],['6845'],"{'房屋户型': '3室2厅1厨1卫', '所在楼层': '低楼层 (共30层)', '建筑面积': '94.97㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '3室2厅1厨1卫', '所在楼层': '低楼层 (共30层)', '建筑面积': '94.97㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '房子属于六院次新小区，主干道小区环境好，人车分流 绿化覆盖..', '周边配套': '房子户型好，楼间距开阔，活动室、菜场一应俱全，生活便利 有麦德龙商圈 和百尚市 中百仓储 天纵城万达商圈 奥特莱斯商圈 出行购物方便', '装修描述': '业主自住装修差不多花了15万，品牌家具家电，拎包就能入住，保养新', '交通出行': '交通：296、295、229、290、291、298、248等公交车出行近在咫尺。出小区往东走：可以上三环，可以上二环，可到轻轨一号线。出小区往西走：可到奥特莱斯、金银潭、地铁二号线和天河机场'}"
464,"['洪山', '白沙洲']",['复地悦城一期'],['86'],['13280'],"{'房屋户型': '2室2厅1厨1卫', '所在楼层': '低楼层 (共34层)', '建筑面积': '64.76㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯六户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '2室2厅1厨1卫', '所在楼层': '低楼层 (共34层)', '建筑面积': '64.76㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯六户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '公摊小，得房率高，交通方便。精装满五', '小区介绍': '该小区是复地集团在烽胜路上开发的大型住宅小区，物业提供24周到，社区干净整洁，各出入口配有24保安，不定时巡逻，小区内有监控，确保住户居家安心', '户型介绍': '房龄比较新，环境好，中间楼层 前后无遮挡，通透格局，格局安排合理。', '交通出行': '小区交通便利，门口两趟公交车，636、632到烽胜路复地悦城站下车即到， 564、32、910、666、906、907、34、539、593、222等各路公交到乔木湾站下车步行500米即到。距离武昌火车站4.8公里'}"
465,"['青山', '青山']",['八大家花园43街坊'],['145'],['13666'],"{'房屋户型': '3室2厅1厨1卫', '所在楼层': '低楼层 (共33层)', '建筑面积': '106.11㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板塔结合', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '其他', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '3室2厅1厨1卫', '所在楼层': '低楼层 (共33层)', '建筑面积': '106.11㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板塔结合', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '其他', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '中上装修 通透户型 安排合理没有浪费空间 好楼层采光好', '适宜人群': '此小区地理位置好，交通方便，环境优美，旁边有三个大型公园，四个大型城市综合体，步行街，个大银行，方便出行，生活购物，适合任何年龄层居住', '周边配套': '小区南边有南干渠公园，北边过马路有和平公园和江滩公园，西边有武汉市九医院，北边有普仁医院，都是三甲医院，小孩上学方便。小区门口有交通银行，汉口银行，工商银行，邮政银行，', '交通出行': '八大家花园位于和平大道主干道，可步行至和平公园，众圆等商圈，交通便利，多条公交从此小区经过，地铁五号线在家门口'}"
466,"['东湖高新', '光谷广场']",['华乐苑'],['93'],['10000'],"{'房屋户型': '2室1厅1厨1卫', '所在楼层': '高楼层 (共6层)', '建筑面积': '92.91㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '混合结构', '装修情况': '精装', '梯户比例': '暂无数据', '配备电梯': '无', '楼层高度': '暂无数据'}","{'房屋户型': '2室1厅1厨1卫', '所在楼层': '高楼层 (共6层)', '建筑面积': '92.91㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '混合结构', '装修情况': '精装', '梯户比例': '暂无数据', '配备电梯': '无', '楼层高度': '暂无数据'}","{'核心卖点': '满五唯一 税费少  随时可以看房 公摊小 高楼层视野开阔', '小区介绍': '华乐苑位于武汉市东湖高新光谷广场，由武汉华乐地产拓展有限公司建成，总建筑面积11500，总占地面积5300，共计房屋736户，小区物业公司为武汉居安物业管理有限公司。', '周边配套': '门口就是邮政、建设银行、工商银行服务网点以及招商银行和广发银行ATM机，中医院、武警总医院，鲁巷广场，光谷步行街.', '交通出行': '小区此房位于光谷珞喻路主干道，门口有多路公交703、905、810、709、591，距离光谷地铁站约500米(来自百度地图），距离杨家湾地铁站600米（来自百度地图）可直达武汉三镇，四通八达，地铁2号线和地铁11号线，光谷核、心，闹中取静'}"
467,"['洪山', '白沙洲']",['爱家名校华城'],['68'],['7466'],"{'房屋户型': '3室2厅1厨1卫', '所在楼层': '低楼层 (共34层)', '建筑面积': '91.09㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '东南', '建筑结构': '钢混结构', '装修情况': '其他', '梯户比例': '两梯六户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '3室2厅1厨1卫', '所在楼层': '低楼层 (共34层)', '建筑面积': '91.09㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '东南', '建筑结构': '钢混结构', '装修情况': '其他', '梯户比例': '两梯六户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '楼栋位置好，中低楼层！！！！业主急售', '小区介绍': '该小区外邻黄家湖，青菱湖，坐享原生态自然景观。内筑实景园林，小区内花繁叶茂，叠水喷泉、景观雕塑已华美呈现，咫尺距离打造家门口的人文书香', '周边配套': '小区内有2万方英伦风情街、9万方综合体、中百仓储、乐儿乐：交通职业校医院、武汉科大校医院、湖北中医药大校医院、九州通大药房民大商院店 银行：邮政储蓄张家湾支行。', '交通出行': '交通便利繁华于静谧之间可自由切换交通公交：638路;906路;910路等多路公交在白沙洲大道爱家公交车站下车步行约50米到达项目未来五号线地铁规划延长黄家湖三街黄家湖五街两站地铁'}"
468,"['洪山', '青山']",['福星惠誉青城华府'],['104'],['11675'],"{'房屋户型': '2室2厅1厨1卫', '所在楼层': '低楼层 (共29层)', '建筑面积': '89.08㎡', '户型结构': '平层', '套内面积': '71.9㎡', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '2室2厅1厨1卫', '所在楼层': '低楼层 (共29层)', '建筑面积': '89.08㎡', '户型结构': '平层', '套内面积': '71.9㎡', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '武钢体育馆旁 证满两年 户型正 采光佳 视野阔 公摊小', '小区介绍': '福星惠誉青城华府地块处于武汉杨春湖城市副中，它东临武钢、西望武昌区、北接青山区、南抵东湖生态旅游风景区，依托于京广高铁专线武汉站的交通枢纽型城市综合服务，同时武汉市政府也将努力的将其打造成四大服务之一', '适宜人群': '福星惠誉青城华府是2012年陆续交房，成熟社区底商，金科城+金地自在城+花样年花郡+东湖城等小区，单价低总价便宜，适合刚需小青年！', '周边配套': '武商量贩、中百、中商平价、武商建二商场、工贸家电、苏宁电器、欧亚达医院: 市第九医院、武钢总医院、青山妇幼保健院、银行/ATM: 农业银行、建设银行、工商银行、中国银行邮局/快递: 青山邮局', '交通出行': '小区位于洪山区主干道仁和路与友谊大道交界处，自驾出行方便；小区门口有（仁和路大洲村公交站）可坐545、616、782，在友谊大道大洲村可坐215、349、515、540、610等公交车去往武汉三镇，近4号线仁和路站'}"
469,"['洪山', '白沙洲']",['复地悦城二期'],['115'],['13260'],"{'房屋户型': '3室1厅1厨1卫', '所在楼层': '高楼层 (共32层)', '建筑面积': '86.73㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯六户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '3室1厅1厨1卫', '所在楼层': '高楼层 (共32层)', '建筑面积': '86.73㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯六户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '复地悦城临高架，自住装修，中间楼层，采光无遮挡', '户型介绍': '该小区是复地集团在烽胜路上开发的大型住宅小区，物业提供24小时服务，社区干净整洁，各出入口配有24保安，不定时巡逻，小区内有监控，确保住户居家安全', '周边配套': '商场：小区自带底商、约40万方综合体（规划中） 医院：武汉科技大学德康医院 省妇幼医院 邮局：张家湾邮局银行：农业银行、建设银行、。其他：武昌火车站、宏基车站、紫阳湖公园 小区内部配套：自带幼儿园;', '交通出行': '小区交通便利，门口三趟公交车，636、632、399到烽胜路复地悦城站下车即到， 564、32、910、666、906、907、34、539、593、222等各路公交到乔木湾站下车步行500米即到。距离轨道交通5号线500米。（数据来自百度地图）'}"
470,"['江汉', 'CBD西北湖']",['新世纪都市花园梅园'],['190'],['15079'],"{'房屋户型': '2室1厅1厨2卫', '所在楼层': '中楼层 (共6层)', '建筑面积': '126.01㎡', '户型结构': '错层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '一梯两户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '2室1厅1厨2卫', '所在楼层': '中楼层 (共6层)', '建筑面积': '126.01㎡', '户型结构': '错层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '一梯两户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '此房老证，南北通透，跃层户型，装修保养较好，领包入住。', '周边配套': '范湖2.3号线地铁C口200米处，出门便是龙湖江辰，万达，菱角湖公园', '税费解析': '房子为70年产权住宅，民用水电。首套或二套都买，都只需要支付1%个税+ 1.5-2%契税，无增值税', '交通出行': '配套成熟，下楼就是菱角湖公园，旁边是三甲新华医院。公交地铁出行方便，万达广场商圈成熟'}"
471,"['硚口', '宗关']",['中建御景星城'],['336'],['19934'],"{'房屋户型': '4室2厅1厨3卫', '所在楼层': '高楼层 (共47层)', '建筑面积': '168.56㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南 西南', '建筑结构': '钢混结构', '装修情况': '毛坯', '梯户比例': '三梯三户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '4室2厅1厨3卫', '所在楼层': '高楼层 (共47层)', '建筑面积': '168.56㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南 西南', '建筑结构': '钢混结构', '装修情况': '毛坯', '梯户比例': '三梯三户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '中建三局 轻轨1号线太平洋站 次新房毛坯毛坯，采光无挑', '小区介绍': '本小区由武汉中建三局开发并管理，小区环境好，物业管理规范，总户数4500户，车位6200个，配套完善，出行方便，小区人群主要是事业单位白领，普遍本小区房龄新环境优美，正规商品房。', '周边配套': '同济医院、仁爱医院、中山医院， 商场，沃尔玛、凯德广场，武商广场、越秀维港购物及南大天地等', '交通出行': '1号线太平洋站和3号线双墩地铁站，宗关站。项目门口在建12号线， 公交：乘坐71、701到汉西路解放大道口下车，505、508、549、621、649到解放大道太平洋站下车，步行100米到项目。'}"
472,"['洪山', '文化大道']",['世茂林屿岸'],['99'],['10904'],"{'房屋户型': '3室2厅1厨1卫', '所在楼层': '中楼层 (共46层)', '建筑面积': '90.8㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板塔结合', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '3室2厅1厨1卫', '所在楼层': '中楼层 (共46层)', '建筑面积': '90.8㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板塔结合', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '世茂林屿岸 优质精装三房 楼层好 楼栋好', '小区介绍': '小区是世茂集团开发，物业是世茂旗下第三物业服务有限公司，小区绿化面积大，绿树成荫，人车分流，自带儿童游乐园，还有幼儿园', '适宜人群': '首付不高，适合小两口作为婚房。也适合在湖边小区养老的群体，散步锻炼都很方便。小区生活也很便利。', '装修描述': '装修还是可以的，自住精装，没有出租过，保养的也好，朝向视野采光好，居住很温馨'}"
473,"['东湖高新', '民族大道']",['曙光星城B区'],['65'],['10750'],"{'房屋户型': '1室1厅1厨1卫', '所在楼层': '高楼层 (共33层)', '建筑面积': '60.47㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '塔楼', '房屋朝向': '北', '建筑结构': '钢混结构', '装修情况': '毛坯', '梯户比例': '四梯二十一户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '1室1厅1厨1卫', '所在楼层': '高楼层 (共33层)', '建筑面积': '60.47㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '塔楼', '房屋朝向': '北', '建筑结构': '钢混结构', '装修情况': '毛坯', '梯户比例': '四梯二十一户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '房子户型方正，公摊小，无贷款，税费少，诚心出售，随时看房', '小区介绍': '本小区，距离最近的是居然之家，APP广场，楼下就是百尚*市，边最近还有青年城菜市场，专做批发，价格优惠，保利时代广场，K11等楼下就是光谷第十*学，下楼五*钟就可以到，让您的孩子保证足够的睡眠', '适宜人群': '这个小区的房子是2017年的房子，写字楼多，年轻人多，适合上班的人', '税费解析': '房子交易过后是正常的商品房，首套是1.5%的契税，1%的个税，增值税及附加5.3%首套可以首付20%，二套30%。业主对付款方式没有要求'}"
474,"['江夏', '文化大道']",['鹏湖湾'],['106'],['11491'],"{'房屋户型': '3室2厅1厨1卫', '所在楼层': '低楼层 (共33层)', '建筑面积': '92.25㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '3室2厅1厨1卫', '所在楼层': '低楼层 (共33层)', '建筑面积': '92.25㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '此房中间楼层，无遮挡，视野开阔采光好，产证满二税费低', '小区介绍': '位于文化大道地铁沿线，开车和坐地铁，出行都比较方便，开车走文化大道上三环，乘坐地铁通往市区，小区有自己的社区底商满足日常生活所需 环境好比较新 文化大道上的小区对比来说小区热度', '周边配套': '小区楼下有购物场地，500米有建行、农商行，1公里内到大花岭地铁站、永旺梦乐城。大花岭街及小区旁边在建的欧亚达还有江南新天地的综合体、完全满足日常购物需求。地铁7号线大花岭站往南两站路到谭鑫培公园、人民医院；大花岭站往北到武昌火车', '交通出行': '小区门口是文化大道主干道，7号线大花岭站D出口，澎湖湾公交车站有905/908等出行到武昌、光谷等，自驾开车上三环、二环等都比较便利.'}"
475,"['东湖高新', '金融港']",['现代森林小镇'],['218'],['20972'],"{'房屋户型': '3室1厅1厨1卫', '所在楼层': '中楼层 (共11层)', '建筑面积': '103.95㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '一梯两户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '3室1厅1厨1卫', '所在楼层': '中楼层 (共11层)', '建筑面积': '103.95㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '一梯两户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '此房位于小区中间位置，不临街，户型方正，居住舒适度很高。', '小区介绍': '小区小桥流水，环境宜人，居住安静静楼栋，小高层居多，低密度小区自带幼儿园、运动场、游泳场、游泳池等设施。', '户型介绍': '户型格局方正，南北通透，位于小区位置很中间，前后无遮挡，通风效果好。', '交通出行': '离光谷大道300米，公交车有718、757、758 、759等等，都可以到繁华商圈。离2号地铁口'}"
476,"['江汉', '台北香港路']",['二皮鞋宿舍'],['68'],['9469'],"{'房屋户型': '2室1厅1厨1卫', '所在楼层': '中楼层 (共6层)', '建筑面积': '71.82㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '暂无数据', '房屋朝向': '南 北', '建筑结构': '混合结构', '装修情况': '简装', '梯户比例': '暂无数据', '配备电梯': '暂无数据', '楼层高度': '暂无数据'}","{'房屋户型': '2室1厅1厨1卫', '所在楼层': '中楼层 (共6层)', '建筑面积': '71.82㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '暂无数据', '房屋朝向': '南 北', '建筑结构': '混合结构', '装修情况': '简装', '梯户比例': '暂无数据', '配备电梯': '暂无数据', '楼层高度': '暂无数据'}","{'核心卖点': '此房满2年后期，税低，朝南两房，地铁口，新华医院，万象城。', '户型介绍': '户型方正，品字形两房，朝南，通透明亮采光好，户型不错，房东诚心卖。', '周边配套': '配套齐全有中百仓储，万象城，新华医院，菱角湖公园，北湖菜场。', '交通出行': '7号线取水楼，3号线菱角湖地铁口交通方便，多条公交线路通达武汉三镇。'}"
477,"['汉阳', '钟家村']",['万科金域国际'],['230'],['19452'],"{'房屋户型': '3室2厅1厨2卫', '所在楼层': '中楼层 (共47层)', '建筑面积': '118.24㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '四梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '3室2厅1厨2卫', '所在楼层': '中楼层 (共47层)', '建筑面积': '118.24㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '四梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '房子位于小区中间楼栋，远离喧嚣，高区非顶楼，全天日照采光好。', '小区介绍': '2019年建造2021年6月刚交房的精装次新房，万科品牌开发商及物业，居住品质高。位于汉阳大道主干道上，五里墩地铁口出口就是，交通便利。旁边即是万科未来中xin商场衣食住行方便。', '周边配套': '医院：武汉市汉阳医院、湖北省第三人民医院、武汉康健妇婴医院、湖北省中山医院-门诊部、武汉现代妇产医院、武汉大学口腔医院(朝阳路分院)、武汉爱尔眼科汉阳医院、武汉铂雅医疗美容门诊部、五里墩街五龙里社区卫生服务站、武汉仁济医院', '交通出行': '地铁：七里庙、五里墩、汉阳火车站、七里庙地铁站-A口、五里墩地铁站-A口、七里庙地铁站-D口、汉阳火车站地铁站-A口、五里墩地铁站-B口、五里墩地铁站-D口、五里墩地铁站-C口'}"
478,"['新洲', '阳逻']",['绿城桃李春风御园'],['62'],['5279'],"{'房屋户型': '3室2厅1厨2卫', '所在楼层': '中楼层 (共16层)', '建筑面积': '117.46㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '毛坯', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '3室2厅1厨2卫', '所在楼层': '中楼层 (共16层)', '建筑面积': '117.46㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '毛坯', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '阳逻之心万达广场旁双地铁口现房三房楼层好视野佳', '小区介绍': '小区环境优美 自带游泳池 ，绿 化 率30% 人车分流 物业管理完善 居住舒适', '周边配套': '小区门口有万达广场 爱琴海购物公园 百尚购物 蓝玉项链生态公园 新洲一中 中山医院 阳逻中 心小 学 思源学 校 施岗小 学 自带幼儿园', '交通出行': '小区位于阳逻万达广场旁 双地铁 江北快速路延长线 交通便利。门口万达广场'}"
